Word	Positive %	Negative %	Neutral %
whip	10%	85%	5%
snore	5%	90%	5%
hurl	10%	85%	5%
fall	20%	70%	10%
meth	5%	90%	5%
drool	10%	80%	10%
crushed	10%	85%	5%
crank	20%	65%	15%
frown	10%	85%	5%
smack	15%	75%	10%
check	50%	20%	30%
bathe	85%	10%	5%
lick	45%	45%	10%
laugh	95%	5%	0%
breathe	90%	5%	5%
running	80%	10%	10%
caress	80%	10%	10%
sail	85%	10%	5%
talk	75%	15%	10%
sing	90%	5%	5%
disappoint	5%	90%	5%
discourage	10%	85%	5%
befall	5%	85%	10%
impose	10%	80%	10%
exploit	5%	90%	5%
distrust	10%	85%	5%
envy	15%	75%	10%
presume	25%	50%	25%
violate	5%	90%	5%
beware	20%	70%	10%
qualify	70%	15%	15%
hope	90%	5%	5%
feeling	75%	10%	15%
specialize	65%	15%	20%
behold	75%	10%	15%
consider	65%	15%	20%
justify	50%	30%	20%
improve	90%	5%	5%
wish	85%	5%	10%
forgive	95%	5%	0%
