"","Word","FeatureCombo","Category","Experiment","TruthCond"
"1","build","concrete-positive","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"2","cook","concrete-positive","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"3","cuddle","concrete-positive","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"4","eat","concrete-positive","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"5","hug","concrete-positive","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"6","kiss","concrete-positive","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"7","running","concrete-positive","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"8","sail","concrete-positive","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"9","smile","concrete-positive","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"10","swing","concrete-positive","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"11","bleed","concrete-negative","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"12","kill","concrete-negative","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"13","murder","concrete-negative","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"14","puke","concrete-negative","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"15","scratch","concrete-negative","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"16","slap","concrete-negative","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"17","smack","concrete-negative","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"18","spit","concrete-negative","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"19","stab","concrete-negative","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"20","vomit","concrete-negative","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"21","annoy","abstract-negative","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"22","befall","abstract-negative","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"23","criticize","abstract-negative","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"24","exploit","abstract-negative","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"25","loathe","abstract-negative","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"26","obsess","abstract-negative","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"27","resent","abstract-negative","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"28","scorn","abstract-negative","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"29","violate","abstract-negative","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"30","worry","abstract-negative","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"31","imagine","abstract-positive","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"32","enlighten","abstract-positive","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"33","admired","abstract-positive","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"34","cherish","abstract-positive","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"35","hope","abstract-positive","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"36","believe","abstract-positive","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"37","fulfill","abstract-positive","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"38","esteem","abstract-positive","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"39","justify","abstract-positive","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"40","respect","abstract-positive","Verbs","Ex1a: Conc-Abs (Verbs)","Conc-Abs"
"41","lonliness","abstract-negative","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"42","regret","abstract-negative","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"43","anxiety","abstract-negative","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"44","despair","abstract-negative","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"45","guilt","abstract-negative","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"46","grief","abstract-negative","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"47","resentment","abstract-negative","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"48","failure","abstract-negative","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"49","shame","abstract-negative","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"50","envy","abstract-negative","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"51","sunshine","concrete-positive","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"52","laughter","concrete-positive","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"53","flowers","concrete-positive","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"54","music","concrete-positive","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"55","beach","concrete-positive","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"56","hug","concrete-positive","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"57","home","concrete-positive","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"58","rain","concrete-positive","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"59","chocolate","concrete-positive","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"60","fireplace","concrete-positive","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"61","love","abstract-positive","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"62","hope","abstract-positive","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"63","joy","abstract-positive","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"64","peace","abstract-positive","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"65","freedom","abstract-positive","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"66","kindness","abstract-positive","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"67","happiness","abstract-positive","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"68","compassion","abstract-positive","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
