ConcValCombo_Intuitive,Word,Task,F_value,J_value,Group
concrete-positive,prosper,Concrete,abstract,concrete,A
concrete-positive,heal,Concrete,abstract,concrete,A
concrete-positive,soothe,Concrete,abstract,concrete,A
concrete-positive,caress,Concrete,abstract,concrete,A
concrete-positive,smile,Concrete,abstract,concrete,A
concrete-positive,rejuvenate,Concrete,abstract,concrete,A
concrete-positive,complete,Concrete,abstract,concrete,A
concrete-positive,reach,Concrete,abstract,concrete,A
concrete-positive,relax,Concrete,abstract,concrete,A
concrete-positive,shine,Concrete,abstract,concrete,A
concrete-negative,die,Concrete,abstract,concrete,A
concrete-negative,destroy,Concrete,abstract,concrete,A
concrete-negative,demolish,Concrete,abstract,concrete,A
concrete-negative,rot,Concrete,abstract,concrete,A
concrete-negative,perish,Concrete,abstract,concrete,A
concrete-negative,smash,Concrete,abstract,concrete,A
concrete-negative,irritate,Concrete,abstract,concrete,A
concrete-negative,fail,Concrete,abstract,concrete,A
concrete-negative,kill,Concrete,abstract,concrete,A
concrete-negative,bore,Concrete,abstract,concrete,A
abstract-positive,love,Concrete,abstract,concrete,A
abstract-positive,admire,Concrete,abstract,concrete,A
abstract-positive,adore,Concrete,abstract,concrete,A
abstract-positive,improve,Concrete,abstract,concrete,A
abstract-positive,embelish,Concrete,abstract,concrete,A
abstract-positive,enlighten,Concrete,abstract,concrete,A
abstract-positive,excell,Concrete,abstract,concrete,A
abstract-positive,impress,Concrete,abstract,concrete,A
abstract-positive,flourish,Concrete,abstract,concrete,A
abstract-positive,relieve,Concrete,abstract,concrete,A
abstract-negative,hate,Concrete,abstract,concrete,A
abstract-negative,suffer,Concrete,abstract,concrete,A
abstract-negative,despise,Concrete,abstract,concrete,A
abstract-negative,languish,Concrete,abstract,concrete,A
abstract-negative,succumb,Concrete,abstract,concrete,A
abstract-negative,loathe,Concrete,abstract,concrete,A
abstract-negative,look down on,Concrete,abstract,concrete,A
abstract-negative,disappoint,Concrete,abstract,concrete,A
abstract-negative,molest,Concrete,abstract,concrete,A
abstract-negative,dislike,Concrete,abstract,concrete,A
concrete-positive,prosper,Concrete,concrete,abstract,B
concrete-positive,heal,Concrete,concrete,abstract,B
concrete-positive,soothe,Concrete,concrete,abstract,B
concrete-positive,caress,Concrete,concrete,abstract,B
concrete-positive,smile,Concrete,concrete,abstract,B
concrete-positive,rejuvenate,Concrete,concrete,abstract,B
concrete-positive,complete,Concrete,concrete,abstract,B
concrete-positive,reach,Concrete,concrete,abstract,B
concrete-positive,relax,Concrete,concrete,abstract,B
concrete-positive,shine,Concrete,concrete,abstract,B
concrete-negative,die,Concrete,concrete,abstract,B
concrete-negative,destroy,Concrete,concrete,abstract,B
concrete-negative,demolish,Concrete,concrete,abstract,B
concrete-negative,rot,Concrete,concrete,abstract,B
concrete-negative,perish,Concrete,concrete,abstract,B
concrete-negative,smash,Concrete,concrete,abstract,B
concrete-negative,irritate,Concrete,concrete,abstract,B
concrete-negative,fail,Concrete,concrete,abstract,B
concrete-negative,kill,Concrete,concrete,abstract,B
concrete-negative,bore,Concrete,concrete,abstract,B
abstract-positive,love,Concrete,concrete,abstract,B
abstract-positive,admire,Concrete,concrete,abstract,B
abstract-positive,adore,Concrete,concrete,abstract,B
abstract-positive,improve,Concrete,concrete,abstract,B
abstract-positive,embelish,Concrete,concrete,abstract,B
abstract-positive,enlighten,Concrete,concrete,abstract,B
abstract-positive,excell,Concrete,concrete,abstract,B
abstract-positive,impress,Concrete,concrete,abstract,B
abstract-positive,flourish,Concrete,concrete,abstract,B
abstract-positive,relieve,Concrete,concrete,abstract,B
abstract-negative,hate,Concrete,concrete,abstract,B
abstract-negative,suffer,Concrete,concrete,abstract,B
abstract-negative,despise,Concrete,concrete,abstract,B
abstract-negative,languish,Concrete,concrete,abstract,B
abstract-negative,succumb,Concrete,concrete,abstract,B
abstract-negative,loathe,Concrete,concrete,abstract,B
abstract-negative,look down on,Concrete,concrete,abstract,B
abstract-negative,disappoint,Concrete,concrete,abstract,B
abstract-negative,molest,Concrete,concrete,abstract,B
abstract-negative,dislike,Concrete,concrete,abstract,B
