Word,ConcValCombo,Conc.M,Conc.SD,V.Mean.Sum,V.SD.Sum,Source,SUBTLWF,Valence,Concreteness,word_length,Task
moldy,physical-negative,3.93,1.28,1.95,0.94,ChatGPT,0.59,negative,neutral,5,SocPhys
soft,physical-positive,3.88,1.45,7.13,1.66,ChatGPT,32.02,positive,neutral,4,SocPhys
smooth,physical-positive,3.81,1.24,6.42,1.77,ChatGPT,18.27,positive,neutral,6,SocPhys
brittle,physical-negative,3.56,1.37,3.86,1.64,ChatGPT,1.39,negative,neutral,7,SocPhys
fragrant,physical-positive,3.35,1.32,7.05,1.18,ChatGPT,0.71,positive,neutral,8,SocPhys
sour,physical-negative,3.14,1.6,3.95,1.93,ChatGPT,5.82,negative,neutral,4,SocPhys
clammy,physical-negative,3.03,1.18,3.81,1.75,ChatGPT,0.59,negative,neutral,6,SocPhys
gritty,physical-negative,2.97,1.35,3.94,2.21,ChatGPT,0.45,negative,neutral,6,SocPhys
rancid,physical-negative,2.97,1.38,2.38,1.72,ChatGPT,0.49,negative,neutral,6,SocPhys
sturdy,physical-positive,2.86,1.48,6.19,1.54,ChatGPT,1.69,positive,neutral,6,SocPhys
lush,physical-positive,2.8,1.41,6.48,1.83,ChatGPT,1.18,positive,neutral,4,SocPhys
prosperous,social-positive,2.48,1.39,7.16,1.8,ChatGPT,1.25,positive,neutral,10,SocPhys
radiant,physical-positive,2.45,1.35,7.29,1.31,both,2.16,positive,neutral,7,SocPhys
fair,social-positive,2.39,1.5,7.14,1.42,ChatGPT,94.75,positive,neutral,4,SocPhys
supportive,social-positive,2.2,1.04,6.95,1.7,ChatGPT,4.65,positive,neutral,10,SocPhys
harmonious,social-positive,2.04,1.16,7.7,1.22,ChatGPT,0.39,positive,neutral,10,SocPhys
corrupt,social-negative,2.03,1.24,3.0,1.74,ChatGPT,5.31,negative,neutral,7,SocPhys
compassionate,social-positive,1.79,0.88,7.95,1.22,ChatGPT,1.78,positive,abstract,13,SocPhys
oppressive,social-negative,1.64,0.95,3.05,1.22,ChatGPT,0.92,negative,abstract,10,SocPhys
unjust,social-negative,1.31,0.76,3.16,1.57,ChatGPT,1.16,negative,abstract,6,SocPhys
wrinkled,physical-negative,4.29,1.16,3.74,1.45,Perplexity,1.69,negative,concrete,8,SocPhys
slim,physical-positive,3.93,1.08,6.63,1.61,Perplexity,11.86,positive,neutral,4,SocPhys
obese,physical-negative,3.7,1.46,2.32,1.25,Perplexity,0.49,negative,neutral,5,SocPhys
ugly,physical-negative,3.23,1.52,2.47,1.93,Perplexity,42.16,negative,neutral,4,SocPhys
scrawny,physical-negative,3.14,1.38,3.89,2.13,Perplexity,1.57,negative,neutral,7,SocPhys
youthful,physical-positive,2.9,1.26,6.89,1.97,Perplexity,1.55,positive,neutral,8,SocPhys
hostile,social-negative,2.62,1.18,2.35,1.18,Perplexity,8.94,negative,neutral,7,SocPhys
amiable,social-positive,2.39,1.29,6.7,1.42,Perplexity,0.59,positive,neutral,7,SocPhys
trustworthy,social-positive,2.39,1.31,7.25,1.55,Perplexity,1.84,positive,neutral,11,SocPhys
elegant,physical-positive,2.31,1.32,7.0,1.2,Perplexity,6.27,positive,neutral,7,SocPhys
generous,social-positive,2.25,1.27,7.43,1.83,Perplexity,16.71,positive,neutral,8,SocPhys
gorgeous,physical-positive,2.25,1.14,7.57,1.66,Perplexity,24.06,positive,neutral,8,SocPhys
manipulative,social-negative,2.21,1.37,2.9,1.92,Perplexity,1.63,negative,neutral,12,SocPhys
cruel,social-negative,2.11,1.37,2.73,2.07,Perplexity,18.35,negative,neutral,5,SocPhys
arrogant,social-negative,2.07,1.25,2.52,1.29,Perplexity,5.22,negative,neutral,8,SocPhys
untrustworthy,social-negative,2.0,1.17,2.67,2.03,Perplexity,0.41,negative,abstract,13,SocPhys
selfish,social-negative,1.92,1.2,3.3,1.78,Perplexity,15.9,negative,abstract,7,SocPhys
polite,social-positive,1.85,1.02,6.57,1.93,Perplexity,13.94,positive,abstract,6,SocPhys
judgmental,social-negative,1.79,1.08,3.0,1.41,Perplexity,1.51,negative,abstract,10,SocPhys
sympathetic,social-positive,1.77,0.99,6.67,1.93,Perplexity,3.8,positive,abstract,11,SocPhys
