Word,Concreteness,ConcValCombo,Group,F_value,J_value
mind,psychological,NA,A,physical,psychological
dream,psychological,NA,A,physical,psychological
fear,psychological,NA,A,physical,psychological
memory,psychological,NA,A,physical,psychological
mood,psychological,NA,A,physical,psychological
body,physical,NA,A,physical,psychological
heat,physical,NA,A,physical,psychological
stone,physical,NA,A,physical,psychological
water,physical,NA,A,physical,psychological
hand,physical,NA,A,physical,psychological
