Word	Concrete %	Abstract %
disown	30%	70%
hate	25%	75%
profane	30%	70%
degrade	35%	65%
displease	40%	60%
distrust	45%	55%
annoy	40%	60%
violate	35%	65%
condemn	30%	70%
intimidate	40%	60%
kiss	85%	15%
sing	80%	20%
laugh	85%	15%
bathe	90%	10%
sleep	95%	5%
dance	80%	20%
smooch	90%	10%
eat	90%	10%
swing	85%	15%
cook	90%	10%
hope	25%	75%
enlighten	30%	70%
excite	40%	60%
zing	45%	55%
inspire	35%	65%
imagine	25%	75%
fulfill	35%	65%
believe	25%	75%
admired	30%	70%
wish	25%	75%
vomit	90%	10%
puke	90%	10%
barf	90%	10%
carjack	80%	20%
piss	85%	15%
bleed	90%	10%
convict	70%	30%
slap	85%	15%
spit	90%	10%
weep	80%	20%
